time,"# warm-ups since codes cleared ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Altitude (GPS) (m)","Ambient air temperature (℃)","Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance traveled since codes cleared (km)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (total) (km)","Engine coolant temperature","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price (£)","Fuel used price (total) (£)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Long term fuel % trim - Bank 1 (%)","Long term secondary oxygen sensor trim Bank 1 (%)","OBD Module Voltage (V)","Oxygen sensor 1 Bank 1 Short term fuel trim (%)","Oxygen sensor 1 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 1 Voltage (V)","Relative throttle position (%)","Short term fuel % trim - Bank 1 (%)","Speed (GPS) (km/h)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",Latitude,Longtitude,
14:21:34.994,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9255933,77.5220269,
14:21:35.001,,,,,,764.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:35.002,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9255933,77.5220269,
14:21:35.003,,,,,,764.300048828125,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9255933,77.5220269,
14:21:35.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12.9255933,77.5220269,
14:21:35.993,,,,,,,,,,,,,,-0.57325,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:36.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:36.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,14.9019607843137,,,,12.9255933,77.5220269,
14:21:36.600,,,,,,,,,,,,,,,,,1.70870519878594,,,,,,,,,,871,0.9,,,,,,,6.68479289381068,,,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:36.816,,,,,,,,,,,,,,,,85.435259939297,,,,,,,,0.000540206666666667,22.1464318515833,,,,,,,,,,,,,,,,,,,,,,,,,2,12.9255933,77.5220269,
14:21:36.947,,,,,,,,,,,,,,-0.58325,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:37.074,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:37.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:37.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,14.9019607843137,,,,12.9255933,77.5220269,
14:21:37.624,,,,,,,,85.408261485173,14.4926477037724,85.408261485173,,,,,,,1.66220223661253,,,,,,,,,,867,0.9,,0.000461381122427004,3.20960434720602,0.000465994933651274,3.24,,6.50286410275953,,,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:37.790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:37.944,,,,,,,,,,,4.73996913779551,,,,,55.4067412204177,,,,,,,,0.00147825483333333,22.14736989975,,,,,,,,,,,,,,,,,,,,,,,,,3,12.9255933,77.5220269,
14:21:38.078,,,,,,,,,,,,,,-0.42,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:38.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:38.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,16.4705882352941,,,,12.9255933,77.5220269,
14:21:38.678,,,,,,,,68.3880658019928,14.4945152878309,76.8981636435829,,,,,,,1.8786046061272,,,,,,,,,,971,1,,0.00101094988814114,3.21015391597173,0.00102105938702255,3.24,,7.3494729987606,,,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:38.842,,,,,,,,,,,4.4111211717773,,,,,46.96511515318,,,,,,,,0.00247657827777778,22.1483682231944,,,,,,,,,,,,,,,,,,,,,,,,,4,12.9255933,77.5220269,
14:21:38.985,,,,,,,,,,,,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,12.9255933,77.5220269,
14:21:39.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9255933,77.5220269,
