time,"# warm-ups since codes cleared ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Altitude (GPS) (m)","Ambient air temperature (℃)","Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance traveled since codes cleared (km)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (total) (km)","Engine coolant temperature","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price (£)","Fuel used price (total) (£)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Long term fuel % trim - Bank 1 (%)","Long term secondary oxygen sensor trim Bank 1 (%)","OBD Module Voltage (V)","Oxygen sensor 1 Bank 1 Short term fuel trim (%)","Oxygen sensor 1 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 1 Voltage (V)","Relative throttle position (%)","Short term fuel % trim - Bank 1 (%)","Speed (GPS) (km/h)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",Latitude,Longtitude,
17:58:15.518,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9255999,77.5220796,
17:58:15.526,,,,,,764.900024414063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:15.527,,,,,,764.900024414063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:15.529,,,,,,764.900024414063,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9255999,77.5220796,
17:58:15.532,,,,,,764.900024414063,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9255999,77.5220796,
17:58:16.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12.9255999,77.5220796,
17:58:16.174,,,,,,,,,,,,,,-0.60325,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:16.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:16.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,14.9019607843137,,,,12.9255999,77.5220796,
17:58:16.735,,,,,,,,,,,,,,,,,1.55015818681217,,,,,,,,,,848,0.8,,,,,,,6.06452560620003,,,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:16.936,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,12.9255999,77.5220796,
17:58:17.093,,,,,,,,,,,,,,-0.61325,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:17.213,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:17.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:17.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,14.9019607843137,,,,12.9255999,77.5220796,
17:58:17.762,,,,,,,,,,,,,,,,,1.51413288150429,,,,,,,,,,849,0.8,,0.000421182852730572,0.0553519342039525,0.000425394681257878,0.06,,5.92358748235599,,,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:17.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:18.093,,,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,12.9255999,77.5220796,
17:58:18.228,,,,,,,,,,,,,,-0.49,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:18.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:18.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,14.9019607843137,,,,12.9255999,77.5220796,
17:58:18.774,,,,,,,,,,,,,,,,,1.41071367225635,,,,,,,,,,848,0.8,,0.000817781333044944,0.0557485326842669,0.000825959146375394,0.06,,5.51899106891067,,,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:18.934,,,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,12.9255999,77.5220796,
17:58:19.067,,,,,,,,,,,,,,-0.49,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:19.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:19.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,14.9019607843137,,,,12.9255999,77.5220796,
17:58:19.654,,,,,,,,,,,,,,,,,1.41071367225635,,,,,,,,,,848,0.8,,0.00116268123266617,0.0560934325838881,0.00117430804499284,0.06,,5.51899106891067,,,,,,,,,,,,,,,,12.9255999,77.5220796,
17:58:19.816,,,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,12.9255999,77.5220796,
